Date,Location,Model,Fatalities,lon,lat
"Sep 2, 2017","Chernoye, Moscow oblast",PZL-Mielec AN-2,2,38.0682455,55.7470365
"Aug 28, 2017 at 1130 LT","Maban, Upper Nile (أعالي النيل)",Antonov AN-26,0,33.0347943,10.0670547
"Aug 19, 2017 at 1642 LT","Donegal Springs, Pennsylvania",Piper PA-61 Aerostar (Ted Smith 601),0,-76.5663556,40.1000956
"Aug 19, 2017 at 0016 LT","Naiguatá, Vargas",Learjet 25,5,-66.739712,10.6181274
"Aug 16, 2017 at 0940 LT","Comayagua-Palmerola AFB, Comayagua",Let 410UVP,1,-87.6211061,14.3818503
"Jul 28, 2010 at 0941 LT","Islamabad, Islamabad Capital Territory (وفاقی دارالحکومت)",Airbus A321,152,NA,NA
"Aug 8, 2017 at 1152 LT","Mainau Island, Baden-Württemberg",Piper PA-46 Malibu Meridian (Malibu Mirage),2,9.195575,47.7054864
"Jul 29, 2017 at 0910 LT","Sao Tomé, Água Grande",Antonov AN-74,0,6.733343,0.3301924
"Apr 20, 2012 at 1840 LT","Islamabad, Islamabad Capital Territory (وفاقی دارالحکومت)",Boeing 737-200,127,NA,NA
"Jul 24, 2017 at 1440 LT","Buenos Aires-San Fernando, Buenos Aires City",Mitsubishi MU-2 Marquise,3,-58.5579643,-34.4430618
"Aug 16, 2015 at 1455 LT","Oksibil, Special Region of Papua",ATR42-300,54,NA,NA
"Jul 13, 2017 at 0815 LT","Tyler-Pounds, Texas",Piper PA-31 Cheyenne,2,-95.4096293,32.3511258
"Jul 10, 2017 at 1630 LT","Itta Bena, Mississippi",Lockheed C-130 Hercules,16,-90.3198067,33.49512
"Nov 4, 2015 at 0900 LT","Juba, Central Equatoria (الاستوائية الوسطى)",Antonov AN-12,41,NA,NA
"Jul 4, 2017 at 1343 LT","Punta Arenas, Nueva Esparta",Gulfstream GIII,9,-64.3996975,10.9748298
"Jul 3, 2017 at 1800 LT","Alpine-Casparis, Texas",Cessna 208B Grand Caravan,0,-103.6814009,30.3862782
"Jul 1, 2017 at 0153 LT","Catawba, Wisconsin",Cessna 421C Golden Eagle III,6,-90.5298697,45.5363557
"Jun 27, 2017 at 1500 LT","Kilia, Odessa Oblast",PZL-Mielec AN-2,0,29.2480308,45.4650742
"Jun 26, 2017 at 0741 LT","Vinalhaven, Maine",Cessna 207 Skywagon,0,-68.836749,44.0487345
"Jun 13, 2017 at 2216 LT","Ruidoso-Sierra Blanca, New Mexico",Beechcraft King Air 90,2,-105.6623565,33.355017
"Jun 7, 2017 at 1335 LT","Andaman Sea, World",Shaanxi Y-8,122,95.7299821,11.2878883
"May 7, 2011 at 1405 LT","Kaimana, Special Region of West Papua",Xian MA60,25,NA,NA
"May 31, 2017 at 1700 LT","Buenos Aires-Ezeiza-Ministro Pistarini, Buenos Aires City",Cessna 421A Golden Eagle I,0,-58.5348284,-34.8150044
"May 30, 2017 at 1630 LT","Renmark, South Australia",Cessna 441 Conquest,3,140.7442855,-34.1742746
"May 30, 2017 at 1210 LT","Bajura, Seti",PZL-Mielec AN-28,1,81.6035062,29.6155222
"May 30, 2017 at 0640 LT","Balashov, Saratov oblast",Antonov AN-26,1,43.1770959,51.543181
"May 27, 2017 at 1404 LT","Lukla, Sagarmatha",Let 410UVP,2,86.7278059,27.6856603
"May 24, 2017 at 1515 LT","Perris Valley, California",De Havilland DHC-6 Twin Otter,0,-117.2181879,33.7619748
"May 17, 2017 at 1526 LT","Toluca, México",Learjet 25,2,-99.6556653,19.2826098
"May 15, 2017 at 1530 LT","Teterboro, New Jersey",Learjet 35,2,-74.0593075,40.8598219
"May 15, 2017 at 1400 LT","Eleuthera Island, Bahamas",Mitsubishi MU-2 Marquise,4,-76.1899661,24.9314461
"May 15, 2017 at 1147 LT","Assabu, Hokkaidō",Beechcraft Super King Air 350,4,140.2254721,41.9209007
"May 5, 2017 at 0653 LT","Charleston-Yaeger (Kanawha), West Virginia",Short 330,2,-81.5926879,38.3715794
"May 3, 2017 at 2030 LT","Colton, New York",Piper PA-31-310 Navajo,1,-74.9395061,44.5530213
"May 1, 2017 at 1630 LT","Bogotá-Guaymaral, Bogotá Capital District",Cessna 208B Grand Caravan,8,-74.0745024,4.8161069
"May 1, 2017 at 1400 LT","Chignik, Alaska",Cessna 208B Grand Caravan,1,-158.4022222,56.2952778
"Apr 30, 2017 at 2015 LT","Schefferville, Quebec",Piper PA-31-310 Navajo,2,-66.8174795,54.8245589
"Apr 29, 2017 at 0030 LT","Amarillo-Rick Husband, Texas",Pilatus PC-12,3,-101.707451,35.2203245
"Apr 29, 2017","San Cristóbal, Artemisa",Antonov AN-26,8,-83.0415078,22.7129122
"Apr 25, 2017 at 1040 LT","Huntsville, Texas",Cessna 421C Golden Eagle III,1,-95.5507771,30.7235263
"Dec 18, 2016 at 0609 LT","Wamena, Special Region of Papua",Lockheed C-130 Hercules,13,NA,NA
"Sep 4, 2010 at 1327 LT","Fox Glacier, West Coast Regional Council",Fletcher FU-24,9,NA,NA
"Apr 7, 2017 at 1100 LT","Harrisburg, Oregon",Piper PA-46 Malibu Meridian (Malibu Mirage),4,-123.170648,44.2740123
"May 18, 2016 at 1900 LT","Camp Dwyer AFB, Helmand",Antonov AN-12,7,NA,NA
"Mar 31, 2017 at 1442 LT","Sorocaba, São Paulo",Piper PA-42 Cheyenne,2,-47.4525944,-23.5015338
"Mar 30, 2017","La Paragua, Bolívar",PZL-Mielec AN-2,0,-63.3505606,6.8352019
"Mar 28, 2017 at 1628 LT","Jauja, Junín",Boeing 737-300,0,-75.4869033,-11.7806236
"Mar 27, 2017 at 0815 LT","Mutare, Manicaland",Britten-Norman Islander,6,32.650351,-18.9757714
"Mar 24, 2017 at 1924 LT","Marietta, Georgia",Cessna 500 Citation,1,-84.5499327,33.952602
"Mar 20, 2017 at 1500 LT","Wau, Western Bahr el Ghazal (غرب بحر الغزال)",Antonov AN-26,0,27.9834738,7.7091884
"Mar 14, 2017 at 1854 LT","Cannon AFB (Clovis), New Mexico",Pilatus PC-12,3,-103.3183038,34.3897838
"Mar 5, 2017 at 1916 LT","Kamphaeng Saen, Nakhon Pathom (จังหวัดนครปฐม)",Pilatus PC-12,1,99.9465077,14.0340841
"Mar 4, 2017 at 1334 LT","Duette, Florida",Beechcraft 60 Duke,2,-82.122866,27.5903135
"Mar 4, 2017 at 0010 LT","Cherokee County, Georgia",Cessna 421B Golden Eagle II,1,-84.4802606,34.2514526
"Feb 21, 2017 at 0859 LT","Melbourne-Essendon, Victoria",Beechcraft Super King Air 200,5,144.912,-37.749
"Feb 15, 2017 at 2000 LT","Chichén Itzá, Yucatán",Piper PA-46 Malibu Meridian (Malibu Mirage),0,-88.5677826,20.6842849
"Aug 14, 2016 at 1120 LT","Tuscaloosa, Alabama",Piper PA-31-310 Navajo,6,NA,NA
"Jan 28, 2017 at 1830 LT","Leticia, Amazonas",Boeing 737-400,0,-69.935907,-4.203165
"Jan 26, 2017","Perth, Western Australia",Grumman G-73 Mallard,2,115.8604572,-31.9505269
"Jan 23, 2017 at 1235 LT","Tucson, Arizona",Beechcraft Super King Air 300,2,-110.926479,32.2217429
"Jan 19, 2017 at 1330 LT","Paraty, Rio de Janeiro",Beechcraft King Air 90,5,-44.7204757,-23.2200542
"Jan 16, 2017 at 1156 LT","Howell, Michigan",Cessna 525 CJ4,0,-83.9293952,42.6072552
"Jan 16, 2017 at 0719 LT","Bishkek-Manas, Bishkek City",Boeing 747-400,38,74.4730782,43.0584523
"Jan 2, 2017 at 1220 LT","Shabunda, Sud-Kivu",Let 410UVP,0,27.3440192,-2.694269
"Dec 29, 2016 at 2300 LT","Cleveland-Burke Lakefront, Ohio",Cessna 525 CJ4,6,-81.6899155,41.5115689
"Dec 25, 2016 at 0527 LT","Sochi-Adler, Krasnodar Krai",Tupolev TU-154,92,39.9339462,43.4343234
"Dec 21, 2016 at 1718 LT","Butterworth AFB (Penang), Penang",Beechcraft Super King Air 200,1,100.39122,5.4653693
"Dec 20, 2016 at 1723 LT","Puerto Carreño, Vichada",Boeing 727-200,5,-67.488462,6.184766
"Dec 19, 2016 at 0445 LT","Tiksi, Republic of Yakutia (Sakha)",Ilyushin II-18,0,128.8644717,71.6374819
"Jan 20, 2015 at 1540 LT","Shatyrkul, Jambyl",PZL-Mielec AN-2,6,NA,NA
"Dec 13, 2016 at 1530 LT","Lanseria, Gauteng",Cessna 402,0,27.9263647,-25.9400168
"Dec 12, 2016 at 0900 LT","Tiniroto, Gisborne District Council",PAC 750XL - Pacific Aerospace Corporation,2,178.0274545,-38.6672113
"Dec 12, 2016 at 0548 LT","Moab, Utah",Quest Kodiak 100,1,-109.5498395,38.5733155
"Dec 7, 2016 at 1616 LT","Havelian, Khyber Pakhtunkhwa (خیبرپختونخوا)",ATR42-500,47,73.1438116,34.0465833
"Dec 5, 2016 at 2223 LT","Pebble City, Georgia",Swearingen SA227AC Metro III,1,-84.0776799,31.2476827
"Dec 4, 2016 at 1619 LT","Sotillo de las Palomas, Castile-La Mancha",Beechcraft King Air 90,4,-4.8267903,40.1044299
