"","Date","Location","Airplane.model","Fatalities"
"1","Sep 10, 2017 at 1130 LT","Goma, Nord-Kivu","Antonov AN-26",0
"2","Sep 6, 2017 at 1829 LT","Caernarfon, Gwynedd","Piper PA-31-310 Navajo",1
"3","Sep 4, 2017","Hato Viejo, Cojedes","BAe 125",2
"4","Sep 2, 2017","Chernoye, Moscow oblast","PZL-Mielec AN-2",2
"5","Aug 28, 2017 at 1130 LT","Maban, Upper Nile (<U+0623><U+0639><U+0627><U+0644><U+064A> <U+0627><U+0644><U+0646><U+064A><U+0644>)","Antonov AN-26",0
"6","Aug 19, 2017 at 1642 LT","Donegal Springs, Pennsylvania","Piper PA-61 Aerostar (Ted Smith 601)",0
"7","Aug 19, 2017 at 0016 LT","Naiguatá, Vargas","Learjet 25",5
"8","Aug 16, 2017 at 0940 LT","Comayagua-Palmerola AFB, Comayagua","Let 410UVP",1
"9","Aug 14, 2017 at 1215 LT","Zemyo, Kansai","Socata TBM-700",2
"10","Aug 8, 2017 at 1152 LT","Mainau Island, Baden-Württemberg","Piper PA-46 Malibu Meridian (Malibu Mirage)",2
"11","Jul 29, 2017 at 0910 LT","Sao Tomé, Água Grande","Antonov AN-74",0
"12","Jul 25, 2017 at 1748 LT","Eteringbang, Guyana","Britten-Norman Islander",1
"13","Jul 24, 2017 at 1440 LT","Buenos Aires-San Fernando, Buenos Aires City","Mitsubishi MU-2 Marquise",3
"14","Jul 18, 2017 at 1239 LT","Wamena, Special Region of Papua","Boeing 737-300",0
"15","Jul 13, 2017 at 0815 LT","Tyler-Pounds, Texas","Piper PA-31 Cheyenne",2
"16","Jul 10, 2017 at 1630 LT","Itta Bena, Mississippi","Lockheed C-130 Hercules",16
"17","Jul 5, 2017 at 1110 LT","Wamena, Special Region of Papua","Pilatus PC-6 (Porter & Turbo Porter)",5
"18","Jul 4, 2017 at 1343 LT","Punta Arenas, Nueva Esparta","Gulfstream GIII",9
"19","Jul 3, 2017 at 1800 LT","Alpine-Casparis, Texas","Cessna 208B Grand Caravan",0
"20","Jul 1, 2017 at 0153 LT","Catawba, Wisconsin","Cessna 421C Golden Eagle III",6
"21","Jun 27, 2017 at 1500 LT","Kilia, Odessa Oblast","PZL-Mielec AN-2",0
"22","Jun 26, 2017 at 0741 LT","Vinalhaven, Maine","Cessna 207 Skywagon",0
"23","Jun 13, 2017 at 2216 LT","Ruidoso-Sierra Blanca, New Mexico","Beechcraft King Air 90",2
"24","Jun 7, 2017 at 1335 LT","Andaman Sea, World","Shaanxi Y-8",122
"25","Jun 3, 2017 at 1030 LT","Garbaharey, Geedo (<U+062C><U+0648><U+0628><U+0627> <U+0627><U+0644><U+0648><U+0633><U+0637><U+0649><U+200E>)","Fokker F27 Friendship",0
"26","May 31, 2017 at 1700 LT","Buenos Aires-Ezeiza-Ministro Pistarini, Buenos Aires City","Cessna 421A Golden Eagle I",0
"27","May 30, 2017 at 1630 LT","Renmark, South Australia","Cessna 441 Conquest",3
"28","May 30, 2017 at 1210 LT","Bajura, Seti","PZL-Mielec AN-28",1
"29","May 30, 2017 at 0640 LT","Balashov, Saratov oblast","Antonov AN-26",1
"30","May 27, 2017 at 1404 LT","Lukla, Sagarmatha","Let 410UVP",2
"31","May 24, 2017 at 1515 LT","Perris Valley, California","De Havilland DHC-6 Twin Otter",0
"32","May 17, 2017 at 1526 LT","Toluca, México","Learjet 25",2
"33","May 15, 2017 at 1530 LT","Teterboro, New Jersey","Learjet 35",2
"34","May 15, 2017 at 1400 LT","Eleuthera Island, Bahamas","Mitsubishi MU-2 Marquise",4
"35","May 15, 2017 at 1147 LT","Assabu, Hokkaido","Beechcraft Super King Air 350",4
"36","May 5, 2017 at 0653 LT","Charleston-Yaeger (Kanawha), West Virginia","Short 330",2
"37","May 3, 2017 at 2030 LT","Colton, New York","Piper PA-31-310 Navajo",1
"38","May 1, 2017 at 1630 LT","Bogotá-Guaymaral, Bogotá Capital District","Cessna 208B Grand Caravan",8
"39","May 1, 2017 at 1400 LT","Chignik, Alaska","Cessna 208B Grand Caravan",1
"40","Apr 30, 2017 at 2015 LT","Schefferville, Quebec","Piper PA-31-310 Navajo",2
"41","Apr 29, 2017 at 0030 LT","Amarillo-Rick Husband, Texas","Pilatus PC-12",3
"42","Apr 29, 2017","San Cristóbal, Artemisa","Antonov AN-26",8
"43","Apr 25, 2017 at 1040 LT","Huntsville, Texas","Cessna 421C Golden Eagle III",1
