"","Date","Location","Airplane.model","Fatalities","lon","lat"
"1","Feb 19, 2003 at 1724 LT","Kerman, Kermanshah","Ilyushin II-76",275,NA,NA
"2","Feb 16, 1998 at 2006 LT","Taipei, Taipei City ","Airbus A300-600",203,121.5654177,25.0329694
"3","Jul 17, 2007 at 1854 LT","São Paulo, São Paulo","Airbus A320",199,-46.6333094,-23.5505199
"4","Jul 28, 2010 at 0941 LT","Islamabad, Islamabad Capital Territory ","Airbus A321",152,73.0931461,33.7293882
"5","Mar 24, 2015 at 1041 LT","Prads-Haute-Bléone, Alpes-de-Haute-Provence","Airbus A320",150,6.442807,44.219812
"6","Apr 15, 2002 at 1121 LT","Busan, Busan ","Boeing 767-200",129,129.0756416,35.1795543
"7","Apr 20, 2012 at 1840 LT","Islamabad, Islamabad Capital Territory ","Boeing 737-200",127,73.0931461,33.7293882
"8","Aug 14, 2005 at 1203 LT","Athens, Attica / ","Boeing 737-300",121,23.7275388,37.9838096
"9","Feb 2, 1998 at 1100 LT","Cagayán de Oro, Misamis Oriental","Douglas DC-9",104,124.6318977,8.4542363
"10","Dec 11, 1998 at 1910 LT","Surat Thani, Surat Thani ","Airbus A310",101,99.3266976,9.1338851
"11","Jan 28, 2002 at 1024 LT","Tulcán, Carchi","Boeing 727-100",94,-77.7165925,0.8150687
"12","Sep 16, 2007 at 1540 LT","Phuket, Phuket ","McDonnell Douglas MD-82",90,98.3922504,7.8804479
"13","Oct 31, 2000 at 2318 LT","Taipei, Taipei City ","Boeing 747-400",83,121.5654177,25.0329694
"14","Feb 11, 2014 at 1138 LT","Aïn Kercha, Oum el-Bouaghi","Lockheed C-130 Hercules",76,6.6905458,35.9302835
"15","May 26, 2003 at 0445 LT","Trabzon, Black Sea Region ","Yakovlev Yak-42",75,39.7167633,41.0026969
"16","Jan 8, 2003 at 2019 LT","Diyarbakir, Southeastern Anatolia Region ","Avro RJ100",75,40.2109826,37.9249733
"17","Oct 10, 1997 at 2210 LT","Nuevo Berlin, Río Negro","Douglas DC-9",74,-58.0470008,-32.9809545
"18","Dec 17, 1997 at 2113 LT","Thessaloniki, Thessaly / Tessa","Yakovlev Yak-42",70,NA,NA
"19","Jul 1, 2002 at 2335 LT","Konstanz, Baden-Württemberg","Tupolev TU-154",69,9.1732384,47.6779496
"20","Nov 30, 2007 at 0136 LT","Isparta, Mediterranean Region ","McDonnell Douglas MD-83",57,30.553705,37.7626487
"21","Sep 29, 1998 at 1354 LT","Palaly, Northern Province ","Antonov AN-24",55,80.0898085,9.7982377
"22","Aug 16, 2015 at 1455 LT","Oksibil, Special Region of Papua","ATR42-300",54,NA,NA
"23","Apr 20, 1998 at 1647 LT","Bogotá, Bogotá Capital District","Boeing 727-200",53,-74.072092,4.7109886
"24","Jul 23, 2014 at 1906 LT","Makung, Penghu County ","ATR72-500",48,119.5774616,23.5706269
"25","Dec 7, 2016 at 1616 LT","Havelian, Khyber Pakhtunkhwa ","ATR42-500",47,73.1438116,34.0465833
"26","Feb 21, 2008 at 1700 LT","Mérida, Mérida","ATR42-300",46,-71.1804988,8.5698244
"27","Feb 4, 2015 at 1054 LT","Taipei-Songshan, Taipei City ","ATR72-600",43,121.5638621,25.0541591
"28","Nov 4, 2015 at 0900 LT","Juba, Central Equatoria ","Antonov AN-12",41,31.57125,4.859363
"29","Mar 30, 2000","Anuradhapura, North Central Province ","Antonov AN-26",40,80.4036508,8.3113518
"30","May 12, 1998 at 1930 LT","Néma, Hodh Ech Chargui","Xian Yunsunji Y-7-100",39,-7.2598913,16.6143698
"31","May 8, 1997 at 2132 LT","Shenzhen, Guangdong","Boeing 737-300",35,114.057865,22.543096
"32","Nov 29, 2003 at 1516 LT","Boende, Équateur","Antonov AN-26",33,20.8850949,-0.2842862
"33","Aug 19, 2012 at 0800 LT","Talodi, South Kordofan ","Antonov AN-26",32,30.3839017,10.6377926
"34","Jan 18, 2015","Abu Adh Dhuhur, Idlib Governorate ","Antonov AN-26",30,37.0480843,35.7369445
"35","Oct 13, 2011 at 1717 LT","Madang, Madang","De Havilland Dash-8-100",28,145.7856324,-5.2218841
"36","Mar 16, 2005 at 1353 LT","Varandey, Republic of Yamalia","Antonov AN-24",28,NA,NA
"37","Jan 21, 1999 at 0810 LT","Bluefields, Región Autónoma del Atlántico Sur","Antonov AN-26",28,-83.7703693,12.0111402
"38","Feb 12, 1998 at 0830 LT","Nasir, Upper Nile ","Antonov AN-32",27,33.0704605,8.6228644
"39","May 7, 2011 at 1405 LT","Kaimana, Special Region of West Papua","Xian MA60",25,NA,NA
"40","Jan 25, 2001 at 1815 LT","Ciudad Bolivar, Bolívar","Douglas DC-3",24,-63.5535552,8.0882791
"41","Mar 15, 2016 at 1430 LT","Fátima, Pastaza","IAI Arava 201",22,-77.9988904,-1.4279679
"42","May 18, 2011 at 2050 LT","Prahuaniyeu, Río Negro","Saab 340",22,-67.9423981,-41.2785416
"43","Sep 2, 2011 at 1748 LT","Robinson Crusoe Island, Chile","Casa 212 Aviocar",21,-78.8460993,-33.6414001
"44","Nov 5, 2010 at 0706 LT","Karachi, Sindh ","Beechcraft 1900C",21,67.0099388,24.8614622
"45","Aug 24, 2003 at 0457 LT","Cap Haïtien, North","Let 410UVP",21,-72.2067681,19.7370362
"46","Feb 11, 2006 at 0800 LT","Aweil, Northern Bahr el Ghazal ","Antonov AN-26",20,27.3998369,8.7670867
"47","Mar 24, 2001 at 1628 LT","Saint-Barthélemy, Guadeloupe","De Havilland DHC-6 Twin Otter",20,-61.531419,16.2542883
"48","Sep 12, 2001 at 1625 LT","Chichén Itzá, Yucatán","Let 410UVP",19,-88.5677826,20.6842849
"49","Nov 9, 1999 at 1903 LT","Uruapan, Michoacán","Douglas DC-9",18,-102.0430476,19.4064492
"50","Sep 14, 2011 at 1130 LT","Huambo, Huambo","Embraer EMB-120 Brasília",17,15.7468535,-12.7739761
"51","Sep 13, 2010 at 0959 LT","Puerto Ordaz, Bolívar","ATR42-300",17,-62.7676633,8.2750921
"52","Apr 12, 2005 at 1058 LT","Timika, Special Region of Papua","De Havilland DHC-6 Twin Otter",17,NA,NA
"53","Feb 20, 2003 at 0915 LT","Kohat, Khyber Pakhtunkhwa ","Fokker F27 Friendship",17,71.4332193,33.5834014
"54","Dec 16, 2001 at 1025 LT","Medellín, Antioquia","Let 410UVP",16,-75.5812119,6.244203
"55","Mar 17, 2001 at 0823 LT","Lubango, Huíla","Beechcraft 1900C",16,13.5321234,-14.9186136
"56","Aug 10, 1997 at 0833 LT","Matsu Island, Lienchiang County ","Dornier DO228",16,119.9516652,26.160243
"57","Aug 2, 2009 at 1100 LT","Oksibil, Special Region of Papua","De Havilland DHC-6 Twin Otter",15,NA,NA
